,0
0,AT1G01060
1,AT1G02740
2,AT1G03457
3,AT1G04400
4,AT1G06040
5,AT1G08260
6,AT1G09730
7,AT1G10390
8,AT1G12110
9,AT1G12910
10,AT1G14440
11,AT1G18390
12,AT1G18450
13,AT1G21920
14,AT1G22770
15,AT1G25560
16,AT1G27650
17,AT1G28520
18,AT1G30810
19,AT1G47485
20,AT1G51140
21,AT1G54830
22,AT1G55660
23,AT1G59660
24,AT1G65480
25,AT1G66750
26,AT1G67580
27,AT1G69570
28,AT1G69935
29,AT1G70170
30,AT1G72390
31,AT1G77080
32,AT1G77180
33,AT1G79000
34,AT2G03500
35,AT2G13540
36,AT2G17265
37,AT2G17770
38,AT2G18000
39,AT2G18790
40,AT2G21070
41,AT2G22630
42,AT2G23070
43,AT2G23380
44,AT2G25930
45,AT2G27300
46,AT2G32950
47,AT2G35510
48,AT2G40080
49,AT2G42280
50,AT2G42400
51,AT2G44680
52,AT2G46340
53,AT2G46830
54,AT2G47700
55,AT3G01460
56,AT3G07650
57,AT3G09190
58,AT3G09600
59,AT3G10480
60,AT3G10490
61,AT3G12130
62,AT3G12145
63,AT3G13670
64,AT3G21320
65,AT3G21880
66,AT3G22420
67,AT3G24440
68,AT3G24870
69,AT3G26640
70,AT3G44110
71,AT3G53310
72,AT3G57390
73,AT4G00990
74,AT4G02020
75,AT4G02440
76,AT4G03110
77,AT4G20400
78,AT4G22140
79,AT4G25420
80,AT4G26000
81,AT4G26150
82,AT4G30200
83,AT4G33980
84,AT4G35900
85,AT4G37280
86,AT4G37900
87,AT4G39100
88,AT4G40060
89,AT5G04240
90,AT5G06770
91,AT5G06850
92,AT5G09530
93,AT5G14530
94,AT5G17690
95,AT5G17800
96,AT5G37770
97,AT5G40490
98,AT5G42820
99,AT5G42900
100,AT5G44160
101,AT5G45600
102,AT5G46210
103,AT5G47640
104,AT5G48300
105,AT5G48890
106,AT5G56860
107,AT5G62640
108,AT5G63470
109,AT5G64610
110,AT5G64930
111,AT5G65060
112,AT5G65080
